골프장명,골프장지역명,"대중제,회원제",18,사용일자,사용시간,성별코드,나이,"도민,비도민",판매업체명
중문GC,서귀포권,대중제,18,20210531,83537,1,40.0,도민,통화
더클래식CC,동부권,대중제,18,20210706,133106,2,40.0,도민,통화
더클래식CC,동부권,대중제,18,20210706,134812,2,40.0,도민,통화
제주CC,제주시권,대중제,18,20210706,134846,2,40.0,도민,통화
스프링데일CC,동부권,대중제,18,20210706,135804,1,40.0,도민,통화
더클래식CC,동부권,대중제,18,20210706,140028,1,30.0,도민,통화
더클래식CC,동부권,대중제,18,20210706,140033,1,30.0,도민,통화
부영CC,동부권,대중제,27,20210706,140347,1,40.0,도민,통화
부영CC,동부권,대중제,27,20210706,142320,1,50.0,도민,통화
그린필드CC(구 제피로스),제주시권,회원제,18,20210706,142429,1,50.0,도민,통화
한라산CC,제주시권,대중제,18,20210706,143234,2,40.0,도민,통화
제주CC,제주시권,대중제,18,20210531,83647,1,40.0,도민,통화
핀크스GC ,서부권,회원제,27,20210706,143241,2,40.0,도민,통화
해비치CC,동부권,회원제+대중제,36,20210706,143246,2,40.0,도민,통화
한라산CC,제주시권,대중제,18,20210706,143250,2,40.0,도민,통화
더클래식CC,동부권,대중제,18,20210706,150151,2,30.0,도민,통화
더클래식CC,동부권,대중제,18,20210706,160012,1,40.0,비도민,통화
오라CC ,제주시권,회원제+대중제,36,20210706,161714,1,50.0,도민,통화
에버리스CC,서부권,회원제,27,20210706,162836,1,40.0,도민,통화
더클래식CC,동부권,대중제,18,20210706,164624,1,40.0,도민,통화
부영CC,동부권,대중제,27,20210531,84254,1,50.0,도민,통화
그린필드CC(구 제피로스),제주시권,회원제,18,20210706,170934,1,50.0,도민,통화
중문GC,서귀포권,대중제,18,20210706,173233,1,30.0,비도민,통화
플라자CC제주,제주시권,대중제,9,20210706,190202,2,30.0,도민,통화
에버리스CC,서부권,회원제,27,20210707,52506,1,60.0,도민,통화
플라자CC제주,제주시권,대중제,9,20210707,55404,1,60.0,도민,통화
우리들CC,서귀포권,대중제,18,20210707,90206,1,50.0,도민,통화
크라운CC,동부권,회원제,27,20210707,91226,1,40.0,도민,통화
한라산CC,제주시권,대중제,18,20210707,91300,1,40.0,도민,통화
그린필드CC(구 제피로스),제주시권,회원제,18,20210707,91448,1,40.0,도민,통화
스프링데일CC,동부권,대중제,18,20210707,95557,1,40.0,도민,통화
더클래식CC,동부권,대중제,18,20210707,100009,2,30.0,도민,통화
제주CC,제주시권,대중제,18,20210707,100101,2,30.0,도민,통화
부영CC,동부권,대중제,27,20210707,100151,1,60.0,도민,통화
부영CC,동부권,대중제,27,20210531,90035,1,40.0,도민,통화
더클래식CC,동부권,대중제,18,20210707,100520,1,40.0,도민,통화
크라운CC,동부권,회원제,27,20210707,103258,2,40.0,도민,통화
라온GC,서부권,대중제,27,20210707,103307,1,40.0,도민,통화
더클래식CC,동부권,대중제,18,20210707,103435,2,50.0,도민,통화
그린필드CC(구 제피로스),제주시권,회원제,18,20210707,105050,1,50.0,도민,통화
타미우스CC,서부권,회원제,27,20210707,105054,1,50.0,도민,통화
한라산CC,제주시권,대중제,18,20210531,90152,1,40.0,도민,통화
부영CC,동부권,대중제,27,20210707,113033,2,40.0,도민,통화
더클래식CC,동부권,대중제,18,20210707,113428,1,40.0,도민,통화
더클래식CC,동부권,대중제,18,20210707,113447,1,40.0,도민,통화
부영CC,동부권,대중제,27,20210707,115151,1,60.0,도민,통화
제주CC,제주시권,대중제,18,20210707,120405,1,40.0,도민,통화
에버리스CC,서부권,회원제,27,20210707,120457,1,60.0,도민,통화
플라자CC제주,제주시권,대중제,9,20210707,120845,2,30.0,도민,통화
크라운CC,동부권,회원제,27,20210531,90850,1,40.0,도민,통화
부영CC,동부권,대중제,27,20210707,133031,1,40.0,도민,통화
크라운CC,동부권,회원제,27,20210707,133439,2,30.0,도민,통화
타미우스CC,서부권,회원제,27,20210707,140607,2,40.0,도민,통화
제주CC,제주시권,대중제,18,20210707,145530,2,40.0,도민,통화
타미우스CC,서부권,회원제,27,20210707,151720,2,40.0,도민,통화
플라자CC제주,제주시권,대중제,9,20210707,153404,1,40.0,도민,통화
크라운CC,동부권,회원제,27,20210707,155251,1,50.0,도민,통화
라온GC,서부권,대중제,27,20210707,162452,1,50.0,도민,통화
라온GC,서부권,대중제,27,20210707,162452,1,50.0,도민,통화
부영CC,동부권,대중제,27,20210707,162608,2,50.0,도민,통화
그린필드CC(구 제피로스),제주시권,회원제,18,20210707,170955,1,40.0,도민,통화
그린필드CC(구 제피로스),제주시권,회원제,18,20210707,171051,1,40.0,도민,통화
타미우스CC,서부권,회원제,27,20210707,175028,1,50.0,도민,통화
중문GC,서귀포권,대중제,18,20210707,210220,1,50.0,도민,통화
중문GC,서귀포권,대중제,18,20210707,221621,2,50.0,도민,통화
플라자CC제주,제주시권,대중제,9,20210708,61838,1,60.0,도민,통화
플라자CC제주,제주시권,대중제,9,20210531,92836,1,40.0,도민,통화
크라운CC,동부권,회원제,27,20210708,90057,1,40.0,도민,통화
타미우스CC,서부권,회원제,27,20210708,90532,1,40.0,도민,통화
제주CC,제주시권,대중제,18,20210708,91409,1,50.0,도민,통화
중문GC,서귀포권,대중제,18,20210531,92947,1,40.0,도민,통화
더클래식CC,동부권,대중제,18,20210708,102634,1,50.0,도민,통화
제주CC,제주시권,대중제,18,20210708,102707,1,50.0,도민,통화
한라산CC,제주시권,대중제,18,20210708,102746,2,50.0,도민,통화
중문GC,서귀포권,대중제,18,20210531,93100,1,40.0,도민,통화
더클래식CC,동부권,대중제,18,20210708,104312,2,50.0,도민,통화
더클래식CC,동부권,대중제,18,20210708,104900,2,50.0,도민,통화
부영CC,동부권,대중제,27,20210708,110359,2,40.0,도민,통화
중문GC,서귀포권,대중제,18,20210708,110828,2,40.0,도민,통화
중문GC,서귀포권,대중제,18,20210708,111506,1,50.0,도민,통화
라온GC,서부권,대중제,27,20210708,111551,1,40.0,도민,통화
더클래식CC,동부권,대중제,18,20210531,93124,1,40.0,도민,통화
제주CC,제주시권,대중제,18,20210708,121756,1,40.0,도민,통화
한라산CC,제주시권,대중제,18,20210708,121855,1,30.0,도민,통화
라온GC,서부권,대중제,27,20210708,131113,1,60.0,도민,통화
라헨느CC,제주시권,회원제,18,20210708,133218,1,40.0,도민,통화
더클래식CC,동부권,대중제,18,20210708,134450,1,50.0,도민,통화
라온GC,서부권,대중제,27,20210708,134815,1,40.0,도민,통화
더클래식CC,동부권,대중제,18,20210531,93156,1,40.0,도민,통화
부영CC,동부권,대중제,27,20210708,135226,1,30.0,도민,통화
에버리스CC,서부권,회원제,27,20210708,135310,1,30.0,도민,통화
더클래식CC,동부권,대중제,18,20210708,135944,1,50.0,도민,통화
한라산CC,제주시권,대중제,18,20210708,140242,1,50.0,도민,통화
한라산CC,제주시권,대중제,18,20210708,140840,1,50.0,도민,통화
한라산CC,제주시권,대중제,18,20210708,140858,1,50.0,도민,통화
타미우스CC,서부권,회원제,27,20210708,141002,2,50.0,도민,통화
타미우스CC,서부권,회원제,27,20210708,141357,2,50.0,도민,통화
스프링데일CC,동부권,대중제,18,20210531,93639,1,40.0,도민,통화
제주CC,제주시권,대중제,18,20210708,144133,1,40.0,도민,통화
제주CC,제주시권,대중제,18,20210708,145050,2,50.0,도민,통화
제주CC,제주시권,대중제,18,20210708,145301,2,50.0,도민,통화
세인트포CC,동부권,대중제,36,20210708,154021,2,40.0,도민,통화
플라자CC제주,제주시권,대중제,9,20210531,94102,1,40.0,도민,통화
제주CC,제주시권,대중제,18,20210708,224557,1,40.0,도민,통화
부영CC,동부권,대중제,27,20210709,80221,2,50.0,도민,통화
부영CC,동부권,대중제,27,20210709,90003,1,40.0,도민,통화
중문GC,서귀포권,대중제,18,20210709,90821,1,40.0,도민,통화
제주CC,제주시권,대중제,18,20210709,93536,2,30.0,도민,통화
더클래식CC,동부권,대중제,18,20210709,94100,2,50.0,도민,통화
더클래식CC,동부권,대중제,18,20210709,111033,1,50.0,도민,통화
더클래식CC,동부권,대중제,18,20210709,111124,1,50.0,도민,통화
더클래식CC,동부권,대중제,18,20210709,111248,1,50.0,도민,통화
중문GC,서귀포권,대중제,18,20210709,111310,1,50.0,도민,통화
중문GC,서귀포권,대중제,18,20210709,112358,1,50.0,도민,통화
테디밸리CC,서부권,회원제,18,20210709,114704,1,50.0,도민,통화
테디밸리CC,서부권,회원제,18,20210709,114935,1,50.0,도민,통화
한라산CC,제주시권,대중제,18,20210709,115404,1,30.0,도민,통화
더클래식CC,동부권,대중제,18,20210709,115604,1,40.0,도민,통화
크라운CC,동부권,회원제,27,20210709,124211,1,30.0,도민,통화
더클래식CC,동부권,대중제,18,20210709,124846,1,60.0,도민,통화
더클래식CC,동부권,대중제,18,20210709,124938,1,60.0,도민,통화
더클래식CC,동부권,대중제,18,20210709,124947,1,60.0,도민,통화
제주CC,제주시권,대중제,18,20210709,131546,1,40.0,도민,통화
제주CC,제주시권,대중제,18,20210709,131554,1,40.0,도민,통화
플라자CC제주,제주시권,대중제,9,20210709,134907,1,40.0,도민,통화
한라산CC,제주시권,대중제,18,20210709,142509,2,50.0,도민,통화
